StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q61,Q95,Q46,Q47,Q48,Q319,Q369,Q348_14,Q349_14,Q350_1,Q354_14,Q355_14,Q356_1,Q262_14,Q325_14,Q326_1,Q345_14,Q346_14,Q347_1,Q260_14,Q312_14,Q320_1,Q357_14,Q358_14,Q359_1,Q336_14,Q337_14,Q338_1,Q333_14,Q334_14,Q335_1,Q330_14,Q364_14,Q332_1,Q388_14,Q389_14,Q390_1,Q391_14,Q392_14,Q393_1,Q394_14,Q395_14,Q396_1,Q397_14,Q398_14,Q399_1,Q400_14,Q401_14,Q402_1,Q403_14,Q404_14,Q405_1,Q406_14,Q407_14,Q408_1,Q409_14,Q410_14,Q411_1,Q412_14,Q413_14,Q414_1,Q428_14,Q429_14,Q430_1,Q432_14,Q433_14,Q434_1,Q436_14,Q437_14,Q438_1,Q440_14,Q441_14,Q442_1,Q444_14,Q445_14,Q446_1,Q448_14,Q449_14,Q450_1,Q452_14,Q453_14,Q454_1,Q456_14,Q457_14,Q458_1,Q460_14,Q461_14,Q462_1,Q267,Q98,Q99,Q100,Q101,Q102_1,Q103,FL_89_DO,FL_50_DO,FL_88_DO,FL_104_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please answer the following questions regarding your consent by clicking on the statements, before commencing the experiment.","Thank you for taking part in our research! 


 

Please enter your unique Prolific ID below:",What is your age?,How do you define your gender?,Is English your first language?,How familiar are you with the factors that may affect salary?,"How familiar are you with the AI technology, e.g. AI systems that are able to make predictions?","Q. Would you expect that employees who have an advanced degree (e.g. masters) also have a higher salary?
 

Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he starts an advanced degree (e.g. masters) with the hope of increasing his salary?

 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who work in the private sector have a higher salary?
 

Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Would you recommend Tom starts a job in the private sector with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who sleep fewer hours have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Would you recommend Tom sleeps fewer hours with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who own a smart watch have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he buys a smart watch with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who own an office plant have a higher salary? 
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (office space, money, etc.), would you recommend he buys an office plant with the hope of increasing his salary?


Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who get expensive haircuts have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he gets expensive haircuts with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who wear expensive clothes have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he buys expensive clothes with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who go skiing multiple times a year have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he goes skiing multiple times a year with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who rent a penthouse apartment have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he rents a penthouse apartment with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who have an advanced degree (e.g. masters) also have a higher salary?

 

Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he starts an advanced degree (e.g. masters) with the hope of increasing his salary?

 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who work in the private sector have a higher salary?
 

Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Would you recommend Tom starts a job in the private sector with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who sleep fewer hours have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Would you recommend Tom sleeps fewer hours with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who own a smart watch have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he buys a smart watch with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who own an office plant have a higher salary? 
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (office space, money, etc.), would you recommend he buys an office plant with the hope of increasing his salary?


Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who get expensive haircuts have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he gets expensive haircuts with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who wear expensive clothes have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he buys expensive clothes with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who go skiing multiple times a year have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he goes skiing multiple times a year with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who rent a penthouse apartment have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he rents a penthouse apartment with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who have an advanced degree (e.g. masters) also have a higher salary?

 

Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he starts an advanced degree (e.g. masters) with the hope of increasing his salary?

 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who work in the private sector have a higher salary?
 

Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Would you recommend Tom starts a job in the private sector with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who sleep fewer hours have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Would you recommend Tom sleeps fewer hours with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who own a smart watch have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he buys a smart watch with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who own an office plant have a higher salary? 
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (office space, money, etc.), would you recommend he buys an office plant with the hope of increasing his salary?


Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who get expensive haircuts have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he gets expensive haircuts with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who wear expensive clothes have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he buys expensive clothes with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who go skiing multiple times a year have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he goes skiing multiple times a year with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","Q. Would you expect that employees who rent a penthouse apartment have a higher salary?
Please rate your answer from 0 (No, not at all) to 100 (Yes, absolutely).",Q. How confident are you in your response?,"Q. Assuming Tom has the resources (time, money, etc.), would you recommend he rents a penthouse apartment with the hope of increasing his salary?
 

Please rate your answer from 0 (not at all) to 100 (totally).","In the box below, please summarize your reasoning for your answers to the above questions.",How clear did you think the scenario (i.e. story line) you were presented with was?,How clear did you think the wording of the questions was?,How difficult did you find the questions?,What did you think about the length of the study?,How fatigued were you at the end of the survey? (0 - not fatigued at all to 10- extremely fatigued) - Fatigue,Please write any useful thoughts/feedback below:,FL_89 - Block Randomizer - Display Order,FL_50 - Block Randomizer - Display Order,FL_88 - Block Randomizer - Display Order,FL_104 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID61""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID319""}","{""ImportId"":""QID369""}","{""ImportId"":""QID348_14""}","{""ImportId"":""QID349_14""}","{""ImportId"":""QID350_1""}","{""ImportId"":""QID354_14""}","{""ImportId"":""QID355_14""}","{""ImportId"":""QID356_1""}","{""ImportId"":""QID262_14""}","{""ImportId"":""QID325_14""}","{""ImportId"":""QID326_1""}","{""ImportId"":""QID345_14""}","{""ImportId"":""QID346_14""}","{""ImportId"":""QID347_1""}","{""ImportId"":""QID260_14""}","{""ImportId"":""QID312_14""}","{""ImportId"":""QID320_1""}","{""ImportId"":""QID357_14""}","{""ImportId"":""QID358_14""}","{""ImportId"":""QID359_1""}","{""ImportId"":""QID336_14""}","{""ImportId"":""QID337_14""}","{""ImportId"":""QID338_1""}","{""ImportId"":""QID333_14""}","{""ImportId"":""QID334_14""}","{""ImportId"":""QID335_1""}","{""ImportId"":""QID330_14""}","{""ImportId"":""QID364_14""}","{""ImportId"":""QID332_1""}","{""ImportId"":""QID388_14""}","{""ImportId"":""QID389_14""}","{""ImportId"":""QID390_1""}","{""ImportId"":""QID391_14""}","{""ImportId"":""QID392_14""}","{""ImportId"":""QID393_1""}","{""ImportId"":""QID394_14""}","{""ImportId"":""QID395_14""}","{""ImportId"":""QID396_1""}","{""ImportId"":""QID397_14""}","{""ImportId"":""QID398_14""}","{""ImportId"":""QID399_1""}","{""ImportId"":""QID400_14""}","{""ImportId"":""QID401_14""}","{""ImportId"":""QID402_1""}","{""ImportId"":""QID403_14""}","{""ImportId"":""QID404_14""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID406_14""}","{""ImportId"":""QID407_14""}","{""ImportId"":""QID408_1""}","{""ImportId"":""QID409_14""}","{""ImportId"":""QID410_14""}","{""ImportId"":""QID411_1""}","{""ImportId"":""QID412_14""}","{""ImportId"":""QID413_14""}","{""ImportId"":""QID414_1""}","{""ImportId"":""QID428_14""}","{""ImportId"":""QID429_14""}","{""ImportId"":""QID430_1""}","{""ImportId"":""QID432_14""}","{""ImportId"":""QID433_14""}","{""ImportId"":""QID434_1""}","{""ImportId"":""QID436_14""}","{""ImportId"":""QID437_14""}","{""ImportId"":""QID438_1""}","{""ImportId"":""QID440_14""}","{""ImportId"":""QID441_14""}","{""ImportId"":""QID442_1""}","{""ImportId"":""QID444_14""}","{""ImportId"":""QID445_14""}","{""ImportId"":""QID446_1""}","{""ImportId"":""QID448_14""}","{""ImportId"":""QID449_14""}","{""ImportId"":""QID450_1""}","{""ImportId"":""QID452_14""}","{""ImportId"":""QID453_14""}","{""ImportId"":""QID454_1""}","{""ImportId"":""QID456_14""}","{""ImportId"":""QID457_14""}","{""ImportId"":""QID458_1""}","{""ImportId"":""QID460_14""}","{""ImportId"":""QID461_14""}","{""ImportId"":""QID462_1""}","{""ImportId"":""QID267_TEXT""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""FL_89_DO""}","{""ImportId"":""FL_50_DO""}","{""ImportId"":""FL_88_DO""}","{""ImportId"":""FL_104_DO""}"
11/02/2022 06:48,11/02/2022 06:51,IP Address,109.249.183.116,100,216,TRUE,11/02/2022 06:51,R_2xzz6D8WEL8xwAN,,,,,51.55050659,0.018295288,anonymous,EN,"I have read the information on this page,I have had the opportunity to ask questions,I understand that my data will be held anonymously and as such, my responses cannot be traced back to me individually.,I understand that I am free to withdraw from the study without penalty if I so wish, simply by closing my browser.,I consent to participate in this research study.",60d38ff2f06a4e33c7471606,20,Female,Yes,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,81,93,89,99,90,42,85,40,10,86,15,12,87,20,88,88,48,76,87,23,87,96,23,93,92,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purchasing an expensive item will not make your salary higher.,Extremely clear,Moderately clear,Extremely easy,Somewhat short,1,,FL_92,,penthouseAIpred|expensiveclothesAIpred|advanceddegreeAIpred|sleepAIpred|officeplantAIpred|haircutAIpred|goskiingAIpred|privatesectorAIpred|smartwatchAIpred,
11/02/2022 06:48,11/02/2022 06:52,IP Address,87.34.112.191,100,258,TRUE,11/02/2022 06:52,R_rcYzDAkDzoJ6VvH,,,,,53.09210205,-7.911697388,anonymous,EN,"I have read the information on this page,I have had the opportunity to ask questions,I understand that my data will be held anonymously and as such, my responses cannot be traced back to me individually.,I understand that I am free to withdraw from the study without penalty if I so wish, simply by closing my browser.,I consent to participate in this research study.",60e7759ff0e233216221659d,39,Female,Yes,"7 - Extremely familiar
",3,52,93,51,100,100,100,1,100,1,8,100,8,6,100,3,100,3,4,26,100,25,71,100,3,100,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You should be earning more to be able to afford luxury items. It is your choice to buy luxury items or not. Your salary should not dictate what you must buy,Extremely clear,Extremely clear,Extremely easy,Just right,0,,FL_91,advanceddegree|smartwatch|officeplant|goskiing|privatesector|expensiveclothes|penthouse|sleep|haircut,,
11/02/2022 06:50,11/02/2022 06:56,IP Address,86.40.152.161,100,372,TRUE,11/02/2022 06:56,R_10ufjXxhuNRYz6J,,,,,53.26890564,-9.05329895,anonymous,EN,"I have read the information on this page,I have had the opportunity to ask questions,I understand that my data will be held anonymously and as such, my responses cannot be traced back to me individually.,I understand that I am free to withdraw from the study without penalty if I so wish, simply by closing my browser.,I consent to participate in this research study.",61328d86962e07ac2cfa1b95,32,Female,Yes,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,86,80,61,49,50,5,89,3,33,51,9,68,50,4,30,72,37,70,58,30,92,82,5,100,100,4,I don't know what to summarize,Slightly clear,Slightly clear,Moderately easy,Just right,1,,FL_103,,,penthouseAIpred+expl|haircutAIpred+expl|privatesectorAIpred+expl|sleepAIpred+expl|officeplantAIpred+expl|goskiingAIpred+expl|advanceddegreeAIpred+expl|smartwatchAIpred+expl|expensiveclothesAIpred+expl
11/02/2022 06:53,11/02/2022 06:57,IP Address,151.230.153.139,100,234,TRUE,11/02/2022 06:57,R_YYPl7gB1RSg8Ft7,,,,,52.89399719,-1.423599243,anonymous,EN,"I have read the information on this page,I have had the opportunity to ask questions,I understand that my data will be held anonymously and as such, my responses cannot be traced back to me individually.,I understand that I am free to withdraw from the study without penalty if I so wish, simply by closing my browser.,I consent to participate in this research study.",5d531b79aa2f430001b4a5e6,28,Female,Yes,5,5,71,100,92,61,93,61,61,83,9,50,83,8,0,100,0,0,100,0,71,80,41,60,72,0,61,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"There are many things mentioned that would allow Tom to access certain group in the hope of networking and increasing his salary with a better paid job. However, many of these things I would not recommend he do because I do not think it is worth the money and salaries can be increased in other ways. ",Extremely clear,Extremely clear,Moderately easy,Just right,0,,FL_91,officeplant|advanceddegree|smartwatch|privatesector|haircut|goskiing|expensiveclothes|penthouse|sleep,,
11/02/2022 06:53,11/02/2022 06:57,IP Address,92.20.7.71,100,283,TRUE,11/02/2022 06:57,R_2qjDb122BzP9vK5,,,,,54.90010071,-1.421096802,anonymous,EN,"I have read the information on this page,I have had the opportunity to ask questions,I understand that my data will be held anonymously and as such, my responses cannot be traced back to me individually.,I understand that I am free to withdraw from the study without penalty if I so wish, simply by closing my browser.,I consent to participate in this research study.",5bb44f9d8f3bd70001e5ab92,31,Female,Yes,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,100,100,72,78,49,18,100,6,30,99,9,5,100,3,29,78,12,95,100,10,79,94,7,100,100,21,"He shouldn’t have to buy clothes/go on holiday etc to increase his salary, it should be based on competence and knowledge of the job. ",Extremely clear,Extremely clear,Just right,Somewhat short,0,,FL_103,,,sleepAIpred+expl|haircutAIpred+expl|goskiingAIpred+expl|officeplantAIpred+expl|advanceddegreeAIpred+expl|privatesectorAIpred+expl|penthouseAIpred+expl|smartwatchAIpred+expl|expensiveclothesAIpred+expl
11/02/2022 06:52,11/02/2022 06:57,IP Address,84.66.236.84,100,308,TRUE,11/02/2022 06:57,R_3fosrP9tzbjlmAT,,,,,51.45129395,-0.289001465,anonymous,EN,"I have read the information on this page,I have had the opportunity to ask questions,I understand that my data will be held anonymously and as such, my responses cannot be traced back to me individually.,I understand that I am free to withdraw from the study without penalty if I so wish, simply by closing my browser.,I consent to participate in this research study.",5c2f4c8b37733700013b4e3c,41,Female,Yes,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,100,100,80,60,75,50,80,0,3,95,0,0,100,0,10,90,1,85,70,5,95,100,0,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some factors are signs that someone earns more but are not actually deciding factors,Moderately clear,Slightly unclear,Slightly difficult,Just right,0,,FL_92,,privatesectorAIpred|haircutAIpred|officeplantAIpred|smartwatchAIpred|penthouseAIpred|sleepAIpred|advanceddegreeAIpred|expensiveclothesAIpred|goskiingAIpred,
11/02/2022 06:56,11/02/2022 07:00,IP Address,86.19.178.21,100,229,TRUE,11/02/2022 07:00,R_3J1SlM5aFMY5VEO,,,,,52.99940491,-1.13180542,anonymous,EN,"I have read the information on this page,I have had the opportunity to ask questions,I understand that my data will be held anonymously and as such, my responses cannot be traced back to me individually.,I understand that I am free to withdraw from the study without penalty if I so wish, simply by closing my browser.,I consent to participate in this research study.",5ecd61476e04500905a6eed2,25,Female,Yes,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,92,71,100,80,83,42,91,0,24,76,15,49,78,8,72,56,0,85,74,4,81,88,15,86,80,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Living in a penthouse might mean you have a higher salary because you can afford it, it isn’t the reason you have a high salary though. ",Moderately clear,Extremely clear,Moderately easy,Just right,0,,FL_92,,expensiveclothesAIpred|officeplantAIpred|privatesectorAIpred|smartwatchAIpred|goskiingAIpred|advanceddegreeAIpred|penthouseAIpred|sleepAIpred|haircutAIpred,
11/02/2022 06:52,11/02/2022 07:00,IP Address,5.151.36.34,100,457,TRUE,11/02/2022 07:00,R_3m7uGIgDsrrrEAB,,,,,53.480896,-2.23739624,anonymous,EN,"I have read the information on this page,I have had the opportunity to ask questions,I understand that my data will be held anonymously and as such, my responses cannot be traced back to me individually.,I understand that I am free to withdraw from the study without penalty if I so wish, simply by closing my browser.,I consent to participate in this research study.",60e6f0ed82f36f039acdeccd,19,Female,Yes,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,91,90,100,100,100,60,76,30,80,70,76,30,80,20,80,95,50,90,90,70,90,90,60,100,90,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just because you have a higher salary doesn’t mean you need the most expensive clothes or haircut. But some of these factors might improve his appearance and how he comes across and therefore stands out to is boss. If he had a degree qualification it shows he is willing to learn and would get paid higher.,Extremely clear,Moderately clear,Moderately easy,Just right,0,,FL_92,,officeplantAIpred|haircutAIpred|penthouseAIpred|advanceddegreeAIpred|sleepAIpred|goskiingAIpred|expensiveclothesAIpred|smartwatchAIpred|privatesectorAIpred,
